Q380,Q169,Q259,Q355,Q112,Q98,Q1,Q55,Q424,Q385,Q78,Q194,Q273,Q256,Q216,Q279,Q245,Q496,Q495,Q321,Q99,Q233,Q488,Q258,Q174,Q314,Q57,Q359,Q198,Q101,Q64,Q105,Q72,Q457,Q3,Q476,Q37,Q20,Q229,Q261,Q347,Q466,Q368,Q7,Q405,Q83,Q465,Q485,Q378,Q286,Q416,Q231,Q232,Q223,Q215,Q334,Q316,Q135,Q218,Q104,Q263,Q335,Q177,Q238,Q87,Q61,Q26,Q451,Q325,Q230,Q45,Q293,Q404,Q246,Q257,Q338,Q358,Q160,Q213,Q69,Q15,Q289,Q267,Q474,Q462,Q326,Q448,Q157,Q219,Q93,Q137,Q363,Q119,Q374,Q412,Q417,Q161,Q8,Q478,Q164,Q200,Q147,Q162,Q336,Q435,Q111,Q89,Q272,Q353,Q40,Q66,Q351,Q65,Q235,Q377,Q323,Q479,Q348,Q418,Q382,Q469,Q155,Q455,Q453,Q409,Q29,Q333,Q143,Q127,Q239,Q362,Q429,Q387,Q33,Q47,Q470,Q158,Q369,Q5,Q128,Q50,Q217,Q247,Q473,Q262,Q301,Q38,Q234,Q332,Q133,Q252,Q208,Q210,Q4,Q266,Q179,Q110,Q207,Q123,Q260,Q294,Q129,Q170,Q192,Q84,Q17,Q226,Q341,Q284,Q329,Q297,Q401,Q443,Q131,Q187,Q313,Q52,Q236,Q62,Q97,Q251,Q30,Q140,Q46,Q82,Q271,Q287,Q447,Q268,Q317,Q366,Q254,Q398,Q126,Q383,Q379,Q44,Q388,Q175,Q331,Q394,Q11,Q302,Q42,Q437,Q56,Q117,Q349,Q419,Q472,Q498,Q481,Q420,Q197,Q189,Q402,Q430,Q395,Q24,Q415,Q428,Q58,Q343,Q146,Q180,Q346,Q79,Q494,Q330,Q356,Q361,Q108,Q269,Q171,Q106,Q184,Q214,Q319,Q176,Q23,Q456,Q191,Q172,Q148,Q144,Q188,Q396,Q452,Q311,Q299,Q10,Q244,Q209,Q85,Q298,Q459,Q122,Q163,Q467,Q203,Q186,Q63,Q370,Q471,Q403,Q345,Q274,Q292,Q118,Q480,Q291,Q300,Q493,Q6,Q477,Q201,Q397,Q138,Q248,Q384,Q103,Q168,Q400,Q94,Q312,Q309,Q281,Q96,Q206,Q411,Q142,Q386,Q250,Q2,Q308,Q39,Q204,Q364,Q182,Q449,Q422,Q21,Q389,Q426,Q28,Q407,Q211,Q399,Q371,Q304,Q391,Q288,Q307,Q53,Q159,Q150,Q224,Q352,Q107,Q41,Q91,Q32,Q88,Q151,Q16,Q54,Q242,Q255,Q375,Q116,Q446,Q425,Q276,Q13,Q222,Q227,Q285,Q432,Q225,Q482,Q305,Q454,Q166,Q95,Q22,Q327,Q275,Q350,Q74,Q71,Q18,Q152,Q154,Q322,Q149,Q463,Q0,Q136,Q167,Q414,Q183,Q360,Q442,Q67,Q202,Q12,Q36,Q109,Q220,Q491,Q440,Q195,Q441,Q134,Q376,Q253,Q328,Q438,Q43,Q14,Q324,Q92,Q77,Q113,Q196,Q165,Q381,Q421,Q357,Q185,Q390,Q367,Q296,Q290,Q73,Q75,Q199,Q173,Q439,Q283,Q354,Q68,Q240,Q25,Q60,Q365,Q413,Q48,Q51,Q153,Q156,Q193,Q59,Q130,Q141,Q90,Q34,Q115,Q145,Q464,Q410,Q190,Q49,Q433,Q318,Q306,Q228,Q434,Q406,Q490,Q458,Q265,Q344,Q86,Q444,Q337,Q315,Q423,Q124,Q372,Q320,Q484,Q125,Q270,Q460,Q408,Q264,Q19,Q132,Q205,Q280,Q486,Q492,Q295,Q102,Q499,Q450,Q76,Q121,Q9,Q342,Q221,Q489,Q282,Q80,Q392,Q178,Q468,Q277,Q241,Q114,Q35,Q100,Q436,Q431,Q340,Q487,Q81,Q181,Q497,Q139,Q212,Q31,Q483,Q278,Q393,Q339,Q475,Q27,Q303,Q249,Q427,Q445,Q310,Q461,Q120,Q237,Q70,Q373,Q243
user3158618180,,86,14,39,,,,13,14,,52,32,,68,13,,16,,61,90,,3,27,8,86,64,68,54,17,,,79,42,96,23,38,87,20,86,10,97,,69,,,39,80,38,62,19,,71,5,32,99,44,,86,58,86,29,35,17,94,50,,17,4,7,,55,99,,,69,,4,31,91,,79,14,63,56,58,75,79,89,42,19,69,,15,96,18,,,34,,68,80,9,49,12,4,,,,53,76,,17,56,99,,97,19,,24,,36,94,69,26,,46,,60,,45,82,,,75,75,58,25,,71,48,12,79,,36,33,74,99,55,24,69,,49,71,27,,,34,,79,7,,9,,13,,59,36,42,100,82,,,55,59,77,,44,49,,,,53,55,,83,,78,96,,17,78,,95,76,,85,8,21,,87,,14,,70,49,,,89,100,16,,,,27,,77,23,37,61,34,,84,15,,46,,,,70,,,98,,,,,,,77,,91,39,27,39,51,93,25,11,,26,41,,79,94,,86,,34,50,98,58,,25,72,,47,40,81,80,92,100,56,15,65,2,21,7,,,51,,76,,,,44,,,,59,62,,,,,,,,,91,97,24,85,,21,93,46,68,,,50,,13,,71,63,42,,80,34,51,65,,67,60,,100,,,94,91,43,76,,75,52,29,79,,25,,56,45,92,7,,22,37,4,,3,83,100,29,68,16,33,,,66,31,1,58,,64,17,,86,,8,82,61,72,37,,,33,36,99,,,35,7,,82,56,,,55,19,,12,44,38,28,47,58,79,51,,63,,38,0,86,44,,,84,53,91,,,89,,44,24,,,84,,,7,,62,,68,22,,95,63,55,,32,,38,,99,25,53,26,53,77,83,78,41,59,6,42,,5,55,,,95,72,63,,25,83,99,33,27,98,,21,92,33,74,,,57,,,19,85,60,80,43,86,,29,27,74,51,68,53,,,43,47,60,,43,,86,99,41,19,41
user1401747044,32,13,,8,85,17,,72,92,,,19,,,23,,45,93,,,28,33,68,,,,36,,,77,22,51,,83,72,11,39,,50,54,22,50,93,,6,69,,,58,,26,43,,4,,,56,,93,,,,87,,34,64,6,77,,,,53,92,31,43,,,46,,,,,66,23,,89,32,96,,,,6,,,89,64,95,31,86,23,56,70,10,31,96,84,,,91,95,23,33,,,12,,66,,,21,,15,68,58,,,52,4,81,,11,19,,24,88,,73,,64,58,,95,,21,,43,12,78,91,56,,,37,43,11,83,,,9,84,33,,,5,93,51,4,,34,,64,,19,,22,2,,5,,42,,,67,67,19,,,57,97,,8,78,51,32,41,26,74,65,93,,76,70,70,61,49,32,,100,0,72,26,10,22,36,,,2,99,,70,,26,,,,21,18,,52,,,,79,67,27,88,31,,13,87,,83,,100,43,14,26,13,81,,38,15,99,94,31,,34,82,39,,51,66,8,97,55,,,26,90,42,8,45,98,49,,14,,57,44,,,90,,66,21,,10,,51,,,,,23,62,,41,76,,53,9,,,,82,27,,65,,8,37,,92,71,88,55,89,58,21,47,70,14,97,4,45,66,,,,63,,51,46,,61,,79,60,3,,55,72,,,22,86,11,67,,39,45,60,68,85,,94,42,77,48,74,98,22,70,63,55,54,68,,,26,77,79,26,,33,,84,,50,,62,99,,,,46,61,43,44,70,63,98,83,,49,,5,,,,46,39,,,58,,59,,,,50,,14,,1,61,48,18,78,34,99,89,37,,,,15,73,,26,50,,,,53,66,89,20,89,27,75,36,37,55,69,,33,9,5,11,18,47,21,,45,,50,83,17,21,82,14,2,52,44,45,85,35,22,12,13,59,,,,,64,,12,27,70,15,9,82,16,27,36,73,,32,72,10,,48,88,47,82,57,85,
user3518581476,5,47,,12,,36,,,98,49,99,57,,75,,6,46,,85,48,,44,75,46,,83,,13,28,95,5,25,92,42,24,,62,2,,,,92,54,,12,18,,23,99,,10,88,38,25,,31,,58,41,0,1,11,,,,,54,91,6,43,66,80,46,10,22,,57,66,43,,47,,73,76,77,30,21,,,,42,,80,,14,5,29,,3,6,27,,,,0,69,67,,42,91,,92,59,49,,,91,,,14,62,,,,70,46,53,75,71,,,,,72,15,49,51,17,9,1,30,89,43,88,76,75,22,,72,82,15,57,27,48,,87,,,30,9,76,38,97,81,,95,35,29,94,,6,,86,24,,,,17,67,,,,,,85,60,17,,60,37,7,93,51,1,,,,,,7,,84,34,,,,13,91,16,,78,10,45,99,28,,58,,53,,22,30,,66,57,63,32,80,,28,47,50,50,97,42,82,,,,29,50,,100,100,85,64,98,,6,79,4,90,85,68,,79,91,43,3,24,83,2,,,15,,42,,92,,,,98,,,,,48,,58,41,13,,37,59,11,,8,75,,,,66,,52,93,,87,17,25,57,,16,,,,90,31,25,17,,52,9,,,,70,100,62,,56,47,72,,,69,,,3,,7,34,,63,,47,,,56,,38,82,51,74,98,90,30,71,,72,,48,,38,90,,,5,35,5,62,9,35,91,,9,95,17,,,53,40,67,,81,,,,36,93,26,40,21,42,,50,42,77,23,61,,62,32,96,,74,,15,74,78,23,,64,28,15,29,,58,,86,,,11,5,,,,75,45,27,20,,27,71,60,73,,,14,56,,31,,25,,54,,73,76,82,45,3,30,96,,67,,79,57,58,,72,,,,96,40,,34,,51,44,73,11,45,63,,40,7,,,50,33,41,95,53,100,32,91,79,10,97,81,,93,27,73,18,87,86,52,10,37,72,,12,,43,44,68
user1141134916,67,44,94,,,23,80,,86,,23,73,1,23,44,2,32,31,31,40,8,,73,,29,9,,85,2,,6,70,,,,94,59,,12,,46,,47,19,58,47,,97,72,28,18,16,76,7,,28,,47,83,84,76,18,,73,71,23,5,37,39,47,68,,27,99,82,52,,29,,,,75,48,52,68,4,,,35,21,2,0,,74,21,,29,94,,,,75,,100,84,,,,37,31,37,6,,33,,,98,,,,,15,95,45,20,86,,81,62,26,74,87,32,50,,9,,72,,,,,,,7,40,,19,7,11,100,77,,,81,30,80,48,,77,1,17,60,,,,,16,7,59,29,,48,,0,,24,57,,,,45,,47,22,94,62,,50,,30,43,51,64,77,62,63,33,,48,30,68,65,23,48,80,3,1,,69,,43,,46,59,,45,,,26,,42,,,1,0,77,81,62,92,,,84,,74,50,100,,88,23,66,,31,52,5,14,65,0,68,82,,36,46,,,,81,56,56,39,75,12,48,,,61,,49,78,,83,17,84,39,,30,40,,42,,25,54,78,49,5,,,,,20,69,76,48,69,,,93,16,,78,,93,,,57,6,88,,45,,4,70,92,,52,97,94,,,,84,43,,61,65,67,74,,92,,37,81,52,3,1,36,57,,84,18,,84,57,,,,,,91,,83,85,21,85,59,94,60,83,48,29,,30,,77,75,86,,24,73,,,36,,68,59,,97,41,25,,87,32,19,74,90,,,24,,97,100,25,,20,10,95,,98,,1,69,98,,1,65,,65,,56,,,70,51,,,77,,4,27,41,,84,86,,98,2,20,,37,40,,,78,,,,68,,,38,53,55,,27,5,42,94,79,,,29,,52,59,,47,,,56,86,,99,16,12,,,15,45,,7,56,62,32,13,23,,16,86,43,5,91,92,,,2,53,99,25,81,89,98,,87,14,76,,,70,71,
user3112438349,,,58,35,,,,,,,,62,15,100,20,,,96,,,26,,,,76,,,,95,17,,67,,47,27,62,52,11,,64,,95,53,57,88,76,,4,83,3,,98,6,83,67,35,39,63,93,97,,,58,96,,10,99,7,,44,57,29,,,73,,,31,,61,95,44,8,95,96,48,42,86,,47,11,,73,,99,43,7,,92,55,,95,,77,,47,,,9,71,57,88,36,48,,,,79,53,,,31,,22,44,87,28,54,91,51,,31,44,,49,4,76,76,41,89,21,51,85,,,27,21,3,70,7,,33,31,,27,27,36,,24,43,37,74,,,53,35,,83,,,30,,98,26,,21,1,1,73,,7,61,82,36,,59,62,10,37,79,,,46,80,,,,13,15,94,89,,23,,,91,48,26,28,68,37,,6,89,73,25,,11,,40,0,44,38,,24,47,72,63,,5,,4,84,,65,9,,36,85,3,,24,64,16,68,3,,50,,20,12,61,22,,4,25,92,,24,26,45,48,88,49,34,23,77,91,,29,86,45,,28,9,70,23,3,100,2,15,,84,53,27,57,48,48,96,,78,69,16,42,88,,13,62,36,,,,,23,71,16,,37,50,27,29,46,5,21,70,,27,55,,96,68,7,21,95,,,27,,,57,,53,77,42,7,53,53,3,9,72,27,75,15,18,,36,23,54,8,,,59,63,64,31,,,70,12,,93,80,,34,2,78,59,,,89,100,94,90,80,17,,62,,,6,91,,66,98,66,29,,,,,3,33,15,,51,,,33,34,60,65,82,,,69,12,73,,,,39,7,83,,32,14,26,3,21,28,35,68,61,,7,,,,65,80,55,51,44,28,26,80,83,20,,14,40,5,41,65,46,24,,,55,84,,,96,14,,95,34,,69,,77,,84,,88,82,,,14,,23,47,63,21,12,,,24,18,36,,36,98,,20,96,15,39,,59,,99,84,,,,6,,50,
user2594473915,11,94,,35,58,,88,98,,15,,9,97,96,29,92,26,14,81,,1,76,14,45,31,47,39,73,51,7,69,26,95,48,64,25,57,55,96,,,,30,70,,32,,90,45,38,,1,11,45,55,97,76,,100,65,89,,61,67,74,,,77,66,33,,80,,24,58,15,74,95,67,4,,12,26,7,98,55,50,57,9,,48,89,2,39,,,41,68,57,,65,81,,,96,65,11,29,70,,12,9,76,50,,,78,42,37,76,49,39,83,6,73,,44,55,45,,,,,35,78,,,77,18,42,81,,,63,27,,,,23,49,11,94,50,,5,14,,35,,22,,,21,72,34,46,13,,61,,,16,65,68,,99,15,6,66,51,19,53,,,22,4,19,75,,57,,,,23,47,1,,,86,,,,19,,57,23,80,21,30,,37,33,6,6,,67,,76,,13,47,27,82,,,38,,5,78,87,,,,43,94,10,,77,5,21,,51,,,,64,,,76,39,66,46,7,53,,87,,99,96,,63,,,,4,96,1,41,,,23,77,55,24,,65,,96,,100,75,10,97,78,1,62,59,,1,4,68,,68,85,9,39,56,,,63,,66,,,,40,0,,37,,58,53,,22,3,8,65,,30,17,34,60,,28,,,16,,66,7,,,57,82,,69,54,,54,,20,82,,,,14,79,,91,10,21,,75,5,16,95,1,,36,,,0,,65,97,68,,6,25,63,,77,30,87,55,71,,,79,,62,2,82,,,67,72,,59,,74,,47,65,,,29,26,86,92,,5,22,22,39,86,,7,,,28,44,29,22,86,66,,,30,54,77,13,22,,13,70,,43,,,79,,,,99,36,47,75,49,,,,,91,52,,66,18,9,,,2,,70,63,,75,72,28,,0,92,14,,,49,21,33,28,,50,37,,1,1,74,76,,,29,60,,22,89,,74,,,71,22,1,15,,57,39,41,,18,,
user544193260,,,,,0,,52,9,,,54,,6,92,,14,44,72,5,75,,96,40,,,,40,,,60,80,,,73,77,53,66,,,38,,29,45,,45,1,38,5,32,87,27,63,56,67,51,20,65,,,,28,12,,29,80,78,86,44,86,,58,17,42,90,,,68,52,1,41,50,,,84,,,62,57,69,75,91,52,13,,,95,59,94,19,87,94,,80,81,7,,88,59,26,53,81,38,53,,73,34,,79,54,16,5,63,42,92,48,18,5,4,59,25,34,,,,,0,21,76,,,87,,41,80,27,,1,58,56,88,31,,,56,89,46,24,,64,41,28,78,84,26,60,,69,30,76,79,100,34,99,,46,85,,,,89,66,,,,25,54,22,81,97,69,22,86,86,,15,70,37,95,42,,,,52,54,,22,48,,95,61,86,55,8,,81,40,11,70,11,36,,91,,,53,41,84,,78,,56,39,33,80,10,82,59,94,54,62,86,6,,33,,76,,30,90,1,,100,81,63,85,,,57,,83,55,76,,67,,3,85,56,36,53,49,53,32,89,6,98,60,72,,13,,60,8,,,81,,21,29,78,65,5,40,37,42,63,,56,,86,36,,7,,95,17,,57,70,,,,29,,50,15,77,92,49,28,38,,9,77,34,51,,27,22,,62,19,16,15,,,47,61,,,,,27,14,54,1,43,37,59,92,,,95,94,88,35,68,38,93,,16,52,,,76,43,,92,62,,,56,,,,48,27,17,10,,35,,70,99,86,70,26,36,63,,,,,,84,4,75,20,,,56,75,50,14,85,,81,44,,,20,,,5,,,100,67,,,,87,53,,95,66,1,28,14,2,,78,64,,48,47,34,,,,59,41,22,82,65,24,,58,49,46,,45,47,53,,,58,42,90,55,81,96,,68,52,96,44,45,57,59,58,,6,98,,85,49,92,49,4,21,60,14,93,,41,22,49,,92,,90,58,,2,,57,32,90,24
user3592669572,,66,,54,,99,97,81,,,29,29,85,64,1,,65,45,67,,91,98,38,27,60,,,0,73,60,31,54,95,,,,,71,25,68,26,22,,64,63,23,38,,,,51,51,26,,34,,63,42,95,51,4,,,14,75,45,25,92,18,75,44,,4,45,84,50,60,42,,41,,67,87,,,,25,,70,,26,60,,,,,,,41,,28,93,,4,,73,34,55,,70,27,43,58,6,,36,,100,31,95,,8,,32,,58,21,,9,4,59,86,61,34,98,89,16,,59,5,75,76,38,70,99,66,,,55,,,,35,86,94,11,9,1,,,98,,48,33,33,,45,88,51,74,36,,10,75,71,80,42,,45,96,16,95,39,0,74,17,,54,,58,,80,,,56,,,45,100,88,,,44,76,67,64,,,,35,,,23,91,70,,,34,,10,,100,100,83,65,68,23,36,,34,47,69,13,8,52,68,,3,84,,34,,,,,95,,,28,91,,20,31,,16,99,80,62,,8,14,22,49,24,73,58,0,,,80,62,,22,92,20,,66,16,8,78,,100,,41,,89,94,89,20,,34,90,,,,,3,,0,65,82,1,44,61,,,28,8,60,95,1,40,75,46,98,69,,35,86,22,50,38,85,,,,92,65,,70,84,,90,,,,58,96,94,24,,,11,,85,,94,60,,,2,92,6,,35,7,55,8,76,97,67,18,39,16,9,,,84,16,99,,,38,30,,81,48,20,,53,28,95,85,40,47,3,43,,46,55,57,6,,,,,,4,52,54,,8,,19,,,99,75,75,68,35,38,87,48,,,4,,70,,,91,39,29,2,17,20,,68,2,100,,27,13,31,96,,60,,53,6,69,86,45,,83,,55,,,88,22,,,,8,83,,74,,18,,33,82,25,35,,40,50,58,99,75,42,,16,2,43,35,,,13,79,60,0,16,4,21,,77,47,,69,67,80,41,23,,,9,
user3079471326,71,65,,,74,92,36,,7,21,81,10,,7,76,54,15,82,83,67,,,31,15,19,64,65,58,58,86,16,,,77,,,54,8,3,0,92,0,61,85,,73,,,40,58,49,,,16,,98,,93,42,99,,5,,26,26,,18,4,67,8,33,61,74,68,28,69,19,94,,5,46,7,100,81,12,,26,,,98,90,67,,65,45,69,4,,29,86,34,65,86,,,51,18,,,70,6,,,,90,77,87,54,70,36,44,,21,,,57,88,67,,92,77,,,,81,78,,,11,35,77,6,39,65,6,91,97,94,7,21,44,48,62,1,84,84,,,,39,97,,16,,5,23,5,24,15,,74,19,29,72,27,70,72,,,,26,40,,,,30,37,,0,14,55,65,77,1,,,90,46,14,9,37,,,16,58,95,79,56,29,,,53,14,92,,,35,22,61,,,18,,74,69,71,42,33,31,59,,,98,,92,89,7,18,93,,,66,66,98,96,42,14,98,60,74,,76,100,42,,19,5,,83,,53,,3,16,,90,,74,84,59,45,,,22,87,10,,,30,30,43,,,66,6,3,18,6,29,48,,,,,89,,,28,66,24,82,8,,38,70,38,4,26,14,40,78,89,,,44,85,,16,96,81,59,,80,10,6,,70,36,,,,,59,70,19,18,,79,,25,,,55,,,15,,,,,80,,6,52,,37,94,,,12,36,97,54,3,53,,,,9,,7,12,,,55,,45,74,33,59,40,,,20,15,82,,74,28,66,2,,,83,85,29,,,,73,31,,22,,33,,64,71,54,,45,,45,95,48,35,17,24,41,25,10,,30,93,51,71,74,,49,1,28,9,66,,92,67,,27,2,21,76,40,,44,69,,,30,100,3,40,30,100,80,14,,97,96,74,,7,12,2,,82,29,,46,50,,78,28,,,83,69,,14,40,,14,,30,37,85,,47,58,80,,43,94,43,,,74,17,,78,
user850556048,87,89,53,29,96,7,0,67,8,50,,32,,,96,62,89,,89,76,36,,79,14,,87,,17,,,22,64,31,,64,,18,,86,58,83,,26,46,,59,32,32,,100,,36,43,80,,26,26,,24,68,15,44,31,63,91,3,,64,73,,,70,,65,11,,76,81,89,84,50,,35,24,,,91,,83,29,,15,49,54,,14,,64,66,,,31,17,68,,12,38,26,31,,,44,82,,57,66,,95,38,46,,35,94,7,,56,83,63,74,91,11,,52,,18,86,58,19,,67,,28,47,,62,55,,69,76,,71,79,14,25,,73,,48,97,68,,90,40,51,,76,,37,98,,35,39,81,7,3,83,90,26,24,,,43,76,44,,39,33,64,14,16,38,13,5,73,,,,1,18,,,52,69,,82,58,35,67,49,40,,62,75,4,59,,70,29,8,,,,34,,,33,,,36,48,78,98,98,4,99,84,93,69,44,28,61,,52,,13,1,,16,43,26,,91,74,90,74,82,93,,,37,81,,47,11,,17,,,5,,1,96,17,99,57,36,85,63,,,,49,,48,43,5,6,3,55,,58,68,68,,91,,55,,,,87,56,90,33,93,,48,,6,71,29,31,49,62,,53,20,1,,97,,17,24,28,94,89,,,24,57,,81,8,36,57,,58,,72,89,23,,,,73,37,18,,59,51,,67,75,,,,78,,24,65,32,80,,9,45,,56,,68,80,,,97,35,72,45,65,,,68,11,28,24,18,16,,3,25,28,62,62,,,,55,,94,30,,86,,,4,,,56,100,45,11,36,6,53,,39,94,,95,,,27,88,64,93,41,95,,80,65,45,80,,,7,99,34,97,86,,97,,39,,46,,49,77,13,37,19,96,88,22,25,10,8,54,22,43,,66,41,89,20,54,48,39,58,55,76,13,33,55,43,62,86,79,,24,,83,,,,10,99,25,59,92,,,20,,,,,61,,,81,5
