id,name,artist,genre,year
0,Iran,Cullan,guitar,80s
1,synergize,Belicia,gospel,2020s
2,Books,Grier,chill,2010s
3,online,Andrea,guitar,60s
4,Florida,Caron,post-dubstep,2010s
5,Money Market Account,Clerc,classical,60s
6,Books,Lucienne,reggae,2020s
7,grey,Gaye,indie,2020s
8,Forward,Michaella,reggae,70s
9,black,Ogdon,goth,60s
10,Botswana,Aubrey,cantopop,90s
11,throughput,Konstantin,party,60s
12,Handcrafted Soft Table,Rosina,piano,80s
13,India,Margaretta,cantopop,2010s
14,Wooden,Lawrence,chicago-house,90s
15,International,Carolee,garage,80s
16,Dynamic,Franklyn,tango,2000s
17,knowledge base,Lorilyn,bossanova,90s
18,Small,Belicia,guitar,90s
19,viral,Wilek,sad,80s
20,reboot,Terza,grindcore,60s
21,Lodge,Jazmin,honky-tonk,60s
22,Antigua and Barbuda,Dulci,grunge,60s
23,Wooden,Holli,techno,80s
24,Front-line,Reggy,chill,70s
25,Borders,Rachel,gospel,2010s
26,invoice,Silas,world-music,2010s
27,Metal,Dare,dancehall,2000s
28,Bike,Cam,show-tunes,60s
29,Architect,Naomi,work-out,70s
30,compressing,Bentlee,country,90s
31,Maryland,Albert,trip-hop,70s
32,Toys,Kaycee,reggaeton,2000s
33,web services,Lorne,bossanova,80s
34,Table,Ailene,punk,60s
35,vertical,Justinn,turkish,60s
36,Gardens,Brien,heavy-metal,2010s
37,neural,Kerr,progressive-house,70s
38,attitude-oriented,Wilek,idm,2000s
39,lavender,Lotti,metal,2020s
40,Granite,Annabelle,post-dubstep,70s
41,calculate,Viv,disco,2000s
42,Lead,Brittni,cantopop,90s
43,solution,Ambrose,metalcore,2020s
44,transmitting,Marabel,disco,60s
45,bluetooth,King,gospel,2010s
46,engage,Gwenora,j-idol,2010s
47,Borders,Alyda,brazil,2010s
48,Practical,Francklin,romance,2000s
49,Legacy,Davy,deep-house,70s
50,Tunisian Dinar,Caril,j-rock,2010s
51,utilize,Preston,reggaeton,2020s
52,plug-and-play,Silva,jazz,70s
53,Customer,Zebulen,german,80s
54,Berkshire,Lorelle,songwriter,60s
55,transmit,Cam,minimal-techno,2000s
56,sticky,Dukey,mandopop,2020s
57,capacitor,Kaela,chicago-house,70s
58,Generic,Sascha,study,60s
59,intermediate,Carola,goth,2010s
60,Table,Arvie,disco,2020s
61,bus,Holly-anne,indie,60s
62,Louisiana,Lorrin,grunge,90s
63,Terrace,Warde,house,70s
64,Assimilated,Ches,mandopop,2000s
65,reinvent,Fay,kids,60s
