Q52,Q440,Q217,Q266,Q423,Q393,Q284,Q351,Q199,Q6,Q298,Q478,Q36,Q264,Q276,Q404,Q329,Q20,Q183,Q229,Q367,Q111,Q490,Q495,Q426,Q110,Q211,Q81,Q342,Q218,Q369,Q372,Q293,Q391,Q51,Q364,Q382,Q460,Q70,Q422,Q172,Q238,Q256,Q128,Q389,Q491,Q431,Q155,Q397,Q71,Q335,Q330,Q310,Q483,Q76,Q126,Q253,Q411,Q485,Q304,Q383,Q338,Q327,Q254,Q139,Q3,Q488,Q425,Q477,Q117,Q141,Q230,Q314,Q449,Q358,Q403,Q463,Q282,Q416,Q197,Q255,Q64,Q499,Q474,Q243,Q10,Q317,Q278,Q73,Q302,Q443,Q114,Q344,Q301,Q85,Q270,Q280,Q346,Q414,Q316,Q22,Q249,Q152,Q245,Q471,Q209,Q455,Q466,Q406,Q233,Q1,Q63,Q444,Q459,Q498,Q50,Q147,Q159,Q482,Q24,Q98,Q475,Q362,Q54,Q447,Q279,Q267,Q328,Q82,Q341,Q287,Q286,Q241,Q221,Q19,Q356,Q347,Q167,Q340,Q412,Q271,Q376,Q178,Q387,Q326,Q295,Q38,Q226,Q315,Q401,Q27,Q476,Q187,Q448,Q171,Q202,Q312,Q421,Q150,Q418,Q186,Q359,Q453,Q419,Q437,Q277,Q242,Q288,Q60,Q469,Q72,Q388,Q175,Q32,Q240,Q62,Q97,Q224,Q313,Q337,Q119,Q489,Q405,Q216,Q456,Q138,Q58,Q120,Q203,Q381,Q269,Q417,Q451,Q467,Q41,Q207,Q200,Q170,Q262,Q380,Q432,Q65,Q112,Q222,Q308,Q348,Q441,Q88,Q129,Q184,Q46,Q75,Q247,Q415,Q2,Q136,Q56,Q368,Q446,Q427,Q409,Q17,Q7,Q289,Q439,Q83,Q33,Q244,Q234,Q385,Q47,Q470,Q57,Q5,Q332,Q101,Q465,Q400,Q122,Q350,Q274,Q407,Q177,Q109,Q291,Q220,Q193,Q86,Q309,Q92,Q237,Q457,Q435,Q77,Q180,Q294,Q78,Q8,Q14,Q377,Q113,Q275,Q23,Q357,Q352,Q487,Q311,Q149,Q479,Q331,Q144,Q169,Q481,Q305,Q472,Q74,Q398,Q194,Q4,Q29,Q354,Q118,Q140,Q214,Q153,Q392,Q137,Q268,Q176,Q384,Q390,Q9,Q164,Q18,Q103,Q235,Q333,Q321,Q100,Q420,Q198,Q227,Q145,Q325,Q80,Q104,Q363,Q79,Q90,Q299,Q210,Q135,Q69,Q436,Q413,Q300,Q61,Q123,Q42,Q261,Q142,Q26,Q251,Q179,Q99,Q371,Q133,Q116,Q108,Q292,Q94,Q394,Q223,Q146,Q16,Q375,Q212,Q486,Q191,Q205,Q236,Q353,Q429,Q228,Q181,Q107,Q248,Q204,Q434,Q473,Q497,Q160,Q106,Q43,Q213,Q355,Q91,Q370,Q493,Q458,Q492,Q366,Q306,Q252,Q13,Q379,Q395,Q259,Q433,Q349,Q161,Q0,Q37,Q45,Q263,Q343,Q102,Q462,Q151,Q272,Q378,Q174,Q96,Q188,Q185,Q67,Q158,Q127,Q402,Q322,Q424,Q494,Q40,Q208,Q361,Q438,Q360,Q87,Q28,Q365,Q320,Q182,Q283,Q48,Q195,Q334,Q285,Q445,Q168,Q162,Q265,Q318,Q442,Q246,Q134,Q125,Q215,Q166,Q319,Q192,Q399,Q374,Q410,Q105,Q250,Q44,Q131,Q201,Q31,Q324,Q290,Q189,Q336,Q231,Q281,Q15,Q21,Q55,Q143,Q39,Q307,Q89,Q165,Q95,Q232,Q157,Q196,Q260,Q34,Q303,Q173,Q454,Q297,Q258,Q163,Q396,Q480,Q239,Q464,Q115,Q273,Q25,Q156,Q296,Q11,Q121,Q53,Q93,Q219,Q468,Q323,Q430,Q496,Q12,Q68,Q190,Q154,Q345,Q59,Q66,Q35,Q408,Q30,Q461,Q124,Q339,Q49,Q132,Q428,Q206,Q452,Q484,Q225,Q84,Q130,Q148,Q386,Q257,Q373,Q450
user2070227861,59,76,57,99,25,97,63,28,50,34,65,0,90,86,6,13,,,,,25,,,,,,,,,,59,,,,,,,,,,,,27,,,,,,,,86,,97,,,,,,,,,,99,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,28,25,,,,,,,,,,,,56,97,,,,,,,25,,,,,,,,,,,,,,,,28,,,76,,59,,,,,86,,,,,,86,97,,,97,,,,,,,,,,,,28,,,,,,77,,,,,,,,,,,,,,,,,,,,,,97,86,,,,,,57,,59,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,97,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,97,,77,,,,,,,,,,,,,,,,,,86,,,99,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,26,,,97,,,,97,,,,,,,97,,,,,,,,,,,,,,,59,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,13,,,86,,,,99,,28,,,,,,,,,,,99,,,,,,,,,,99,99,,,,,28,63,,,,,,,,,,97,,,,,,,
user1510231875,58,90,9,46,80,64,39,2,29,65,69,7,75,59,73,61,12,3,81,9,14,0,33,53,54,32,36,40,,,,,,,,75,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,58,,,,,,,,,58,,,,81,,,,,,,,2,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,3,,,,,,,,58,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,58,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,54,,59,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,53,,,,,,,,,,,,,81,,,,,,,,,,,,,58,,,,,,,,,,,,,,,75,3,,,,3,,,,,,,,,,,,,3,,,,,,,,59,29,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user4217163608,18,40,91,65,89,28,91,59,45,28,21,58,33,39,57,20,83,0,95,1,9,26,90,40,84,74,78,64,55,25,7,95,94,58,26,16,54,25,,,,,,,,,,,,,,,,,,,,,,,,,90,,45,,,,,,,18,,,,,,,,,,,,,,91,84,,,,40,40,,,40,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,17,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,84,95,,,,,,,,40,,,,,,,84,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,84,,,,,,,,40,,,,,,,,,,,,,,,,91,,,,,,,19,91,,,,,,,,,,,,,,,,,,,,,,,,40,,91,,,,18,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,45,,,,,,,,,,,,,,,,,,,,,,91,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,,,,,40,,,40,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,45,,,,,,,,,,84,,45,,,,,,40,,40,,40,,,,,,,,,,,,,,
user1585531623,96,89,22,23,5,29,14,65,3,49,29,17,23,63,75,15,71,57,87,70,53,,,,,,,,,,,,,,14,,,,,,70,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,14,,,,,97,,,,,,,,,,,,,,29,,,23,,97,96,,,,,15,,,,96,,,,57,,,,,,,,,,,,96,,,,,,,,,,,,,,,23,,,,,,,96,,,,,,,,,,,,,,,22,,,,,,96,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,57,96,96,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,96,,,23,,,,,,,,,49,,,,,,,96,,,,,14,,,,,89,23,96,23,96,,,,,,,,,,,,49,,,,,96,,,,,,,,,,,,,,49,,,,,,,,,,,,23,,49,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,,,,96,,,,96,,,96,,,,,,,,,,,,,,,,,,,,,
user3065554153,47,52,60,70,0,52,76,65,71,56,88,89,92,67,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,47,,,,,,,67,,,,,,,,47,,,47,,,,,,,,46,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,47,,,,,,,,67,47,76,,,,,,52,,,,,,,,47,,,,,,88,,,,46,,,,,,,,,,,,,,,,,,76,47,,47,,,,,,,,,,47,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,47,,,,,,,,47,46,,,,,,,,,,,,,,52,,,,,,,,,47,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,76,,,,,67,,,,,,,,,,,,,,,,,52,47,,,,,47,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,47,,,,,,,,,,,47,,,,,,,46,,52,,,,,,
user2174334144,78,48,93,18,85,10,12,37,8,2,,,,,,,,37,37,,,77,78,,,,,78,78,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,78,,78,,78,,,,,,37,,,,,,,,,,,,,,,,,,78,,,,12,,,,,,,78,,,78,48,,,,,,,78,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,37,,,,,,,,,78,,37,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,78,,,,,,,,,78,,,,,,,37,,,,37,,,37,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,37,,,,,,,,,,,37,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,37,,,,37,78,10,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,78,,78,,,,,,,,,,,,,37,,,,,78,,,,,,,,,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user1460918236,51,63,94,27,91,77,73,69,16,6,55,21,55,5,52,26,73,95,65,56,93,11,1,24,76,25,78,38,,69,,27,,,,73,,50,,,,,27,,,,,,,,,,,,,,,,,51,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,24,,73,,,,,73,,,,,,,77,,,,,,,,,77,,,,,,,51,,,,,,,,,,,,,,,,,,,,,51,,,51,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,51,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,51,,,,,77,,,,,,,,,,77,51,,51,,,,,,,,,,,,,,,,,,,,,,,,77,,,,49,52,,,,,,,,,,,,,,51,,,,,51,,73,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,77,,49,,,,,,,,,,,,,,,,,,,73,,,,,,26,,,,,,
user2673064083,78,72,30,89,13,33,47,33,83,47,39,31,33,7,60,5,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,13,,,,72,,,,,,,,,,,,,,,,,,,,,,,,47,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,30,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,30,,,,,,47,,,,,,,,13,,,,30,,,,,,,,,,,,,,,,,,,30,,13,,,,,,,13,33,,,30,,,,,,,,,,,,30,33,,,78,,,,,,,,,,,,,,13,30,,,,78,30,,,,,,,,,,,,,,77,30,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,33,,,,,30,,,,,,,,30,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
user1562492839,63,44,92,98,3,82,36,48,56,61,6,84,52,27,69,100,8,57,66,3,89,80,33,69,67,29,38,9,45,69,26,8,36,22,7,37,19,66,91,93,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,43,92,,44,,,,,,,,,,,,,,44,,,44,,,,,,,36,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,8,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,92,,,,,,,,44,,,,,92,,,48,,,36,,,,,,,36,,,92,91,,,89,,,,,,,,,48,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,82,,,,,,,,,92,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,61,,,,,,,63,,,,43,,,,,44,89,44,,,,,,,,,,,,,,,92,,,,,,91,,,,63,,,8,,,,,92,,,,,,,,,,,,,,,98,,,,,,43,100,,,,,,,,,,,,,,,,,,,89,,98,,,,,,,,44,,,,,,,,,
user2860041727,61,73,12,61,18,0,93,35,52,60,39,99,29,52,67,77,26,49,6,64,40,63,85,50,78,49,74,5,17,40,53,84,6,49,22,11,69,67,38,86,64,73,19,88,13,,,6,,,,,,,88,,,,,,,,,,,,,,,,,26,,,,,,,,61,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,26,18,61,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,61,,,,,,,,,,,19,,,,,,61,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,61,,,,,,,,,,,,,,,60,52,,,,,,,,,,,69,,,,,,,,61,,,,,,,,,,,,,,,73,,,,,,,,52,,,,,,,,,,,,,,,61,,,,,,,,,,,73,,,,,,,,,,61,,,,,,,,,,,,,,,,61,,61,,,,,,,,,,,,,,,,61,,,,,,0,,,,,,,,,,,,,,,,,,,6,,,,,,61,,,,,,,,,61,,,,93,,,,61,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,26,,,,,,,62,,,,0,,,69,,,,,,,,,,,,61,,,,,,,,61,,,,,,73,,,,,,,,,,,,,,,,,,,,,60,,61,,,,,,12,,,,,,,,,,,,,61,,,,,,,
