Q317,Q353,Q246,Q288,Q466,Q184,Q26,Q455,Q84,Q213,Q256,Q47,Q137,Q130,Q478,Q41,Q444,Q80,Q219,Q15,Q39,Q1,Q472,Q412,Q170,Q117,Q22,Q86,Q448,Q312,Q55,Q162,Q409,Q91,Q269,Q18,Q71,Q442,Q365,Q369,Q445,Q214,Q351,Q319,Q433,Q337,Q453,Q457,Q79,Q32,Q493,Q200,Q46,Q231,Q328,Q129,Q372,Q20,Q451,Q452,Q465,Q295,Q384,Q76,Q136,Q423,Q441,Q496,Q92,Q221,Q343,Q14,Q350,Q180,Q279,Q99,Q128,Q172,Q254,Q488,Q106,Q108,Q60,Q164,Q464,Q436,Q320,Q418,Q253,Q202,Q229,Q177,Q73,Q152,Q64,Q143,Q171,Q154,Q396,Q334,Q341,Q401,Q225,Q124,Q383,Q303,Q265,Q285,Q283,Q313,Q408,Q284,Q310,Q52,Q37,Q98,Q167,Q244,Q29,Q121,Q263,Q127,Q339,Q483,Q48,Q325,Q299,Q16,Q450,Q382,Q207,Q251,Q223,Q33,Q101,Q447,Q3,Q149,Q218,Q489,Q148,Q327,Q473,Q134,Q275,Q25,Q368,Q388,Q414,Q357,Q332,Q356,Q45,Q404,Q462,Q463,Q305,Q179,Q403,Q178,Q210,Q138,Q34,Q17,Q407,Q426,Q355,Q103,Q243,Q0,Q140,Q227,Q446,Q480,Q429,Q392,Q461,Q371,Q380,Q476,Q131,Q176,Q390,Q239,Q467,Q359,Q298,Q226,Q249,Q120,Q195,Q323,Q282,Q281,Q439,Q306,Q208,Q456,Q484,Q78,Q97,Q237,Q460,Q421,Q393,Q142,Q411,Q190,Q391,Q11,Q233,Q315,Q287,Q66,Q74,Q118,Q274,Q422,Q27,Q89,Q316,Q398,Q166,Q212,Q30,Q264,Q370,Q308,Q50,Q175,Q67,Q133,Q419,Q468,Q198,Q201,Q257,Q54,Q59,Q151,Q340,Q155,Q338,Q36,Q471,Q163,Q23,Q6,Q19,Q107,Q354,Q438,Q141,Q492,Q376,Q399,Q95,Q235,Q182,Q385,Q300,Q112,Q379,Q83,Q410,Q232,Q314,Q420,Q115,Q111,Q266,Q236,Q5,Q193,Q470,Q49,Q90,Q387,Q293,Q345,Q427,Q203,Q161,Q125,Q292,Q304,Q241,Q31,Q487,Q123,Q126,Q204,Q196,Q96,Q286,Q82,Q344,Q375,Q405,Q434,Q61,Q199,Q248,Q114,Q280,Q497,Q301,Q234,Q290,Q324,Q482,Q363,Q358,Q477,Q459,Q145,Q24,Q168,Q273,Q159,Q402,Q486,Q268,Q230,Q449,Q57,Q432,Q361,Q498,Q8,Q437,Q100,Q132,Q395,Q156,Q406,Q187,Q173,Q335,Q217,Q272,Q216,Q44,Q7,Q116,Q435,Q294,Q425,Q443,Q475,Q220,Q276,Q261,Q88,Q68,Q147,Q260,Q191,Q70,Q119,Q255,Q499,Q259,Q21,Q183,Q240,Q291,Q13,Q415,Q485,Q247,Q329,Q122,Q352,Q53,Q206,Q224,Q364,Q296,Q40,Q242,Q197,Q238,Q330,Q289,Q397,Q491,Q65,Q326,Q189,Q413,Q150,Q188,Q333,Q228,Q374,Q192,Q331,Q262,Q185,Q69,Q307,Q169,Q63,Q222,Q360,Q342,Q347,Q458,Q252,Q186,Q144,Q494,Q113,Q336,Q2,Q157,Q302,Q381,Q394,Q417,Q454,Q431,Q43,Q490,Q245,Q270,Q362,Q38,Q146,Q87,Q42,Q174,Q209,Q428,Q153,Q94,Q135,Q75,Q378,Q424,Q479,Q481,Q62,Q104,Q495,Q250,Q271,Q109,Q267,Q9,Q85,Q12,Q81,Q309,Q440,Q416,Q258,Q373,Q430,Q349,Q346,Q389,Q165,Q158,Q105,Q56,Q72,Q93,Q400,Q181,Q377,Q205,Q35,Q139,Q348,Q321,Q469,Q110,Q215,Q277,Q160,Q322,Q311,Q58,Q51,Q318,Q102,Q278,Q474,Q211,Q4,Q297,Q77,Q194,Q367,Q366,Q10,Q386,Q28
user281973020,46,,3,,89,65,,18,85,96,,91,58,58,3,,1,81,33,,67,51,27,,45,92,,,,88,36,46,70,59,0,,5,62,80,77,,28,,17,88,60,19,,9,7,62,49,5,,83,69,83,,89,,50,86,,,59,,23,0,,,64,,3,,,63,63,71,83,13,18,2,,,34,57,87,21,56,45,58,15,,72,29,5,93,,16,,86,,33,10,93,,10,73,18,55,61,60,31,44,90,42,,5,,16,17,61,37,,67,99,,42,31,40,90,,20,39,5,,96,99,31,89,,97,27,57,42,65,,34,15,,95,95,,16,93,73,,55,34,8,,,60,75,46,54,13,,,8,71,91,4,,,42,69,,23,,74,83,10,,,,30,0,27,52,,97,95,19,,24,34,,2,4,31,2,15,66,96,,63,,,8,,7,36,,0,,22,29,2,,0,,58,38,34,22,51,,77,16,,,31,,,,,89,72,28,14,,72,38,2,,,23,13,,,,,44,91,21,45,52,51,3,26,9,,31,,49,39,21,92,,9,87,15,,,2,48,,6,92,47,100,74,74,96,60,,38,43,,,59,29,76,96,60,99,,71,71,42,48,,58,86,72,51,,48,65,80,,36,23,100,79,,,39,,85,,23,89,95,11,49,53,43,64,40,59,,35,71,43,11,48,,,5,,,48,19,72,,,56,11,24,57,2,,,100,55,13,33,,22,,,,71,5,96,88,60,58,15,5,62,,,,17,,51,,,67,19,,,,,,8,73,87,,57,8,53,,,99,26,,97,82,8,,27,95,,72,91,40,,10,,86,48,,,33,,87,89,,67,10,87,53,21,53,91,19,49,2,,66,19,,,96,100,,84,,30,,4,1,40,,,41,47,,78,24,82,41,68,,33,0,58,,,,,48,34,63,,52,72,67,7,,6,91,13,56,48,11,26,,99,28,65,,15,,,90,72,18,37,28,,83,35,30,57,4
user1497476375,93,51,,,57,60,50,51,4,,51,3,,,91,,88,60,69,64,,34,,60,43,,12,3,39,85,76,99,69,,42,57,28,2,97,,41,,20,85,41,,43,46,,7,47,,71,1,,40,0,82,61,,,38,94,87,,13,35,,54,,79,36,53,94,,59,67,,99,77,,,,52,49,,,,49,,78,91,84,,64,,52,64,67,,82,,88,45,13,38,49,45,,80,11,35,67,,26,14,,,5,6,94,22,48,90,47,47,25,28,,,70,,38,70,59,80,85,39,83,,30,35,35,34,64,49,25,57,48,13,71,85,,50,84,,69,53,10,,46,14,,,,1,19,42,52,58,,94,84,24,55,40,84,54,83,88,18,,54,40,5,52,,52,65,,79,,66,61,40,16,,,10,65,,78,,55,,,76,1,29,76,45,61,61,90,98,,47,9,11,,81,61,,87,,27,,,,52,4,,,,29,,15,68,,,3,,18,88,89,,28,,72,,62,37,81,,35,9,,,99,47,28,90,79,20,69,12,84,38,5,49,,30,,,25,9,99,,60,81,30,50,9,40,,94,30,97,73,,42,,52,24,12,4,,82,5,,92,36,77,32,98,14,78,,37,24,70,,66,,83,,,69,39,11,5,67,29,61,,25,58,49,,68,69,80,,,8,,,67,,12,67,57,72,,,89,,19,68,44,0,50,,,11,,65,85,39,36,46,,84,44,19,66,25,93,,71,,69,,15,32,,,45,43,,31,77,,,31,61,49,21,52,87,93,,98,82,,13,7,99,,,51,,61,74,77,14,68,99,89,26,1,41,19,75,17,,34,21,,21,42,,19,60,,11,,,74,1,13,,87,73,88,,66,11,,,11,12,27,80,,50,,82,1,90,94,48,77,80,34,37,,44,,86,21,68,,73,67,52,54,48,19,,48,35,99,37,93,90,,22,,83,12,17,32,34,60,0,2,37,,,19,,53,38,,67,93,,79,
user1407057247,37,39,82,19,14,83,35,40,,,80,,13,92,80,87,,91,,57,25,,,86,,13,,93,92,36,72,68,74,52,61,50,71,39,53,,3,89,,48,,14,0,96,76,89,83,85,0,89,26,43,79,,,60,,18,93,17,16,56,21,24,,73,99,,56,98,2,14,9,26,29,34,,6,36,2,10,3,86,3,100,64,,80,,,,,,35,66,65,54,67,75,60,86,,,,56,62,82,12,39,96,,,87,77,,96,16,13,,,70,,,5,22,85,,25,43,95,,37,,36,84,59,20,33,49,78,2,76,74,92,83,8,,,13,,57,13,,25,77,100,,2,50,,0,,7,25,61,9,76,46,100,,,,,37,61,64,70,17,5,20,14,48,28,88,8,76,,30,,,,,46,57,61,85,,,17,46,10,,17,25,,76,,18,63,,,75,30,77,16,47,98,,,5,3,47,12,96,35,,7,,31,13,52,11,,56,37,,,15,,48,99,66,,4,44,40,,,59,3,,,,99,73,24,,,6,12,36,40,22,,,2,85,61,49,75,7,67,,37,17,4,,26,,,93,77,,80,65,23,7,,74,52,37,82,54,,76,,71,76,,,32,8,,61,,84,28,41,74,45,,47,,,,,25,,34,2,,72,93,6,33,77,,40,,3,,87,,,,,,75,33,28,,21,71,81,,14,,,,49,45,66,71,35,95,,15,82,82,,79,,57,20,61,56,,83,95,,98,4,,69,15,,53,97,67,82,,20,78,42,,,1,,18,,21,52,,6,69,,72,83,11,93,47,48,,32,45,82,68,,53,20,,17,,,,73,12,,57,60,14,,4,82,3,88,45,99,,32,65,4,,,,19,26,53,39,55,99,,69,,15,6,,24,17,80,,,,31,91,9,11,,59,10,77,86,57,36,65,63,64,,,,61,44,0,,28,51,,85,,32,,19,96,85,,,93,53,16,40,13,,63,,66,44
user3163405715,,,,46,70,18,10,37,19,,55,42,,26,,96,,16,38,68,93,12,1,,44,45,72,98,,10,81,,,,,,22,,72,68,,,20,4,67,,11,10,,25,,2,41,95,,34,21,47,18,52,76,11,65,18,,13,1,12,,2,9,30,,64,66,30,16,58,84,97,76,63,22,,0,,12,25,,93,52,8,92,84,,2,57,,29,18,77,100,81,62,,0,48,,,,78,80,80,59,96,,6,5,48,14,72,71,,35,27,10,85,27,82,82,51,29,96,75,,,,58,31,,,4,,10,39,28,32,64,0,17,,,58,,70,50,10,,36,99,1,,,83,,46,68,96,,85,,89,35,34,34,14,8,23,89,,66,71,89,,,100,98,,92,51,,,60,46,,65,77,67,46,55,91,,13,49,98,53,3,,100,,68,48,9,96,,40,,,68,64,39,96,13,,,0,99,14,65,,,,96,,20,2,8,23,,,23,,,,,,69,33,65,3,76,,58,,20,80,4,,,99,58,,27,43,21,11,,,13,,39,1,,82,69,42,,,89,,94,71,38,59,73,5,,,64,20,,18,52,36,,61,91,,27,,58,14,99,,18,83,36,,52,36,,66,98,64,0,71,,,39,61,,,24,37,,37,42,,1,94,45,69,,76,,18,,29,3,,62,82,98,53,65,41,84,19,,,,,99,,12,35,25,98,84,,,94,66,21,65,98,13,,,,67,38,23,,,21,42,,40,87,77,12,17,96,91,90,2,35,,42,,99,48,37,89,,97,56,35,59,72,76,10,39,45,85,70,,,40,43,86,,41,,,,45,96,22,13,52,,61,68,,49,96,,57,23,65,91,21,76,76,,31,22,9,22,,,,,82,99,84,16,24,90,,,,59,48,2,,84,18,,66,,51,53,16,85,,46,39,83,,11,37,84,19,,28,2,,,,,41,49,8,92,56,29,41,64,21,,,19,21,58,,16,
user3044475948,62,12,27,66,11,95,61,86,35,,,69,,,34,,94,26,99,49,58,40,19,31,35,17,80,85,,,21,,50,28,72,,85,30,,58,38,35,39,28,23,,,83,98,67,16,,3,44,59,,1,62,68,,55,,,18,55,40,15,,81,81,10,,93,,,76,10,,,22,,13,,39,,100,12,92,,44,71,32,26,80,,,,47,,15,84,,,,,,70,,26,89,62,77,,,3,61,,69,75,77,57,32,83,,80,3,42,,15,,33,12,,78,,50,,,,54,82,58,58,85,26,57,,72,65,,,21,10,32,42,52,46,56,31,,,,25,35,,,,,,2,52,54,87,0,81,6,,,,,,46,46,,74,48,68,34,84,,,91,60,47,16,,,,,73,50,,9,,15,75,28,,,,17,51,,4,,15,65,20,,36,,,68,54,,36,74,,,66,,94,30,79,73,21,38,89,48,21,,1,7,,,36,,95,66,79,49,0,97,,68,15,46,,48,55,13,,51,1,53,,,35,3,29,,65,,,19,,59,29,22,,,55,94,49,97,47,24,100,,,72,6,99,85,,40,,10,,62,,74,9,87,,71,,,,,,28,,37,43,84,34,11,,,,,69,89,3,,77,73,67,74,15,,,88,87,93,66,44,99,38,,,89,90,14,,20,92,91,10,79,,55,60,88,17,,57,56,19,9,30,,79,90,54,,78,59,72,49,82,68,64,7,,90,15,25,59,6,96,,80,37,55,47,60,72,,79,81,75,92,,40,,,,44,86,80,51,46,66,68,33,,12,50,40,,28,,89,,68,15,,14,20,,,55,94,79,75,,,75,72,,97,30,,66,79,59,29,,36,,68,,49,84,14,,56,22,3,99,41,,,84,90,87,,7,,23,,71,43,,97,28,27,91,,74,4,81,74,4,,95,,,88,27,34,,,53,87,46,36,,,16,,76,54,9,64,,5,
user353964542,63,54,88,17,,26,74,,61,71,,,,78,80,3,,83,,,,78,91,,18,65,81,,92,,72,,10,90,84,,85,19,90,,21,3,17,3,,1,27,,,38,39,46,90,51,45,,90,51,63,39,,97,,,14,,64,,,,20,,45,98,100,43,99,,96,,63,55,,63,,,,,50,1,,60,61,,89,87,40,91,27,42,33,53,34,,53,100,37,69,18,72,97,,26,77,35,43,,88,,96,,,,31,2,54,1,11,37,37,,22,,81,60,16,,,50,3,,,,,,,,,6,69,46,50,88,6,,34,,,66,,32,,,,66,,41,24,7,68,,27,23,,99,28,24,44,,63,,,7,,,41,35,,,12,1,,97,,,57,14,73,,,63,7,,,91,,,16,47,3,,87,40,71,40,,39,,84,74,72,83,69,,43,52,12,66,64,77,75,56,15,,,41,,100,57,,86,20,,85,54,21,48,,,89,57,,,,,,,32,,,,73,80,,,65,,,78,,,,88,28,6,31,,,,43,29,11,56,64,63,96,3,,70,69,72,86,,97,13,1,,36,,27,22,2,47,,45,,13,49,,75,95,40,,91,88,29,18,,48,88,25,19,11,36,78,58,1,,37,22,,72,,5,66,,,78,,48,5,,,79,,99,42,43,10,33,,,60,63,91,76,46,,48,48,,83,10,,,19,,6,70,,60,,35,86,,29,92,,8,68,41,,22,63,97,,,50,1,6,3,89,41,1,,95,,89,22,33,64,83,,27,34,49,,81,82,65,33,0,95,17,25,,31,75,91,,13,9,39,81,93,94,63,40,,16,99,,36,,42,8,,51,,11,98,28,,,,,3,89,73,,,74,46,88,24,,12,15,51,81,,0,,17,,63,14,39,,66,37,31,55,,,33,,73,,87,,,58,,,94,0,,51,,2,27,85,,26,15,40,38,84,
user2753835801,,25,28,15,31,,63,93,68,,,93,98,52,,,45,47,22,62,83,38,30,,,14,74,,,44,60,21,,73,,,40,0,,12,45,,5,58,85,,,,53,,,,,2,97,,0,74,0,19,42,,,,,,92,56,17,78,65,,78,98,,86,87,,70,18,86,,,41,86,,,,33,,54,20,,,,,97,,,,30,48,88,,30,30,65,100,92,74,49,16,1,93,88,,,16,66,,85,67,81,44,97,,68,77,65,,,,32,92,,60,93,,76,33,61,,98,,60,66,18,38,15,35,,,,,88,17,17,83,13,39,49,22,45,58,68,74,35,57,31,,33,,,,17,41,69,,40,91,30,0,49,9,8,2,13,24,30,56,99,75,,50,,96,,,80,80,,25,,18,95,92,,,36,,,89,38,88,91,70,79,64,54,,38,16,20,72,25,50,,,,,,,70,60,,9,20,,,6,,2,52,85,,9,,91,82,25,83,,75,89,,19,,57,87,,,98,,,,0,,,,99,97,26,,43,47,,89,0,,3,38,,38,66,80,88,,61,94,37,24,33,95,,28,24,74,57,93,75,,93,50,57,21,29,,,47,85,62,73,,75,46,,,,18,9,,,93,72,54,,52,,,24,,26,47,74,,94,,71,79,47,,86,,,12,65,,,30,93,79,63,65,19,81,,,25,36,,,,15,4,64,,45,47,,0,90,,87,79,40,54,22,,73,62,22,21,,,18,78,,,,,,85,15,,49,76,21,20,,65,7,76,,63,92,7,85,33,74,,9,,5,45,94,,32,6,53,23,,75,93,7,28,82,75,15,96,52,,,33,93,74,,74,31,74,,,86,85,61,91,91,92,60,26,97,,72,17,17,83,,,86,25,26,,96,59,8,,98,,59,,93,94,,35,,52,30,,83,,78,1,98,65,,14,90,,69,97,,46,19,67,85,,,,36,,7
user582256688,78,,,85,,38,59,,,51,79,72,56,,7,20,95,4,98,50,,51,94,,,,82,68,,14,70,76,60,54,,42,27,2,30,73,66,31,73,18,,27,,79,14,23,,,,27,,,,82,,85,41,,57,12,,29,,78,48,2,4,71,23,,,30,30,59,27,,,2,,3,,22,9,42,84,,64,92,,,20,,9,35,58,100,65,,,62,28,3,3,,,,,43,,,90,61,,57,82,1,41,14,100,,,85,42,,,71,94,,,19,,24,13,69,64,80,70,14,65,92,84,75,89,19,19,,,,73,94,,71,24,80,85,40,39,11,98,73,,37,78,38,,47,4,,19,41,33,,,16,45,,,82,54,96,1,,,47,1,89,27,15,40,51,23,2,27,,31,78,62,48,48,,14,,1,51,54,70,18,,78,,41,,86,56,8,54,7,25,95,91,14,,44,14,49,59,,55,,,,99,,26,,14,12,17,82,35,99,89,67,72,,98,83,92,90,84,77,,69,52,58,48,99,100,86,46,31,30,,,11,91,90,70,82,50,,91,71,52,73,49,,14,24,65,62,,80,,39,60,,87,72,5,8,98,38,96,36,55,39,4,,94,,,54,56,67,56,,8,,2,92,,69,3,32,,,3,94,,31,,14,,0,31,43,13,,,82,5,59,68,58,46,,,30,78,3,,,,99,7,,77,44,29,28,,51,49,47,,,91,,58,4,87,68,42,3,12,24,71,8,71,38,41,82,30,,,46,,,41,25,75,,,,,44,,80,43,75,8,11,85,99,90,73,29,93,17,15,56,,7,63,15,95,89,41,80,,,59,,39,67,3,49,,24,,,,,,56,,15,,,89,19,38,1,84,79,71,,14,31,95,59,29,41,84,97,,39,0,7,68,,10,,38,,17,60,78,37,83,,,60,45,65,8,50,3,,94,,,50,46,,31,73,,75,9,,35,,,89,,44,7,25,76,91,40,2,33,98
user928353246,100,53,70,38,,,56,,,,,,,41,34,,97,64,99,42,86,15,26,49,18,,90,,,4,9,,47,,,12,5,99,14,,94,72,,18,94,78,,24,29,,,,44,12,34,,,64,1,,71,,1,64,,,37,75,77,,,,50,21,84,77,80,42,,11,,91,53,46,35,55,21,40,94,,,,,88,,70,98,42,,100,87,,82,50,81,,74,,1,36,90,15,1,88,,72,48,,33,,1,77,58,51,28,,,24,,,61,18,61,28,3,52,,,8,,51,81,,48,,52,,39,75,93,,98,,,30,20,,86,39,,78,10,,66,83,22,84,,44,34,9,82,,92,59,,,18,99,95,43,89,25,,,16,,,,33,94,65,72,27,71,61,,55,3,68,28,13,,78,35,0,71,,,41,,,,15,74,29,26,22,44,40,33,,66,73,51,92,,86,,,92,99,,,39,6,16,50,,32,59,14,37,,,93,,,93,6,,,,,42,95,,55,88,3,,76,1,,97,68,51,,79,,47,,8,3,23,15,71,72,,22,8,,66,48,88,36,92,17,,52,,35,,,58,42,,71,37,,10,93,,,,23,,84,96,91,,,,,,10,6,,,95,49,,7,48,10,,98,10,79,,85,,,,,,42,83,33,,87,81,9,20,56,15,57,8,52,,,95,58,,22,46,41,68,33,79,20,41,31,2,12,21,95,50,95,83,74,38,68,19,8,,57,68,,34,,,,,,55,,55,28,17,,,93,38,5,75,,9,79,60,88,94,13,9,20,,81,21,36,68,8,34,53,37,,,67,10,80,48,74,86,11,,7,,,,3,71,32,,10,,,85,,1,56,9,84,,20,13,78,98,78,88,,55,9,79,70,,91,17,0,,,18,69,96,,14,61,11,,93,,89,3,14,,32,,41,,70,29,7,10,37,84,,22,,82,,,66,30,10,24,,21,75,91,19,65,16
user476285677,,82,,30,,53,62,,,22,51,49,,28,96,,61,35,,21,44,,9,90,,60,38,,85,95,82,0,,47,89,97,3,73,11,44,51,13,68,50,,,,55,31,17,21,15,66,92,,73,55,,40,,,,41,91,78,,31,57,97,,26,61,,53,20,79,8,63,70,63,93,13,10,,54,34,49,17,,10,,,99,3,,,46,46,,99,45,6,35,59,95,10,55,7,,,,9,61,,47,100,,,,54,16,6,73,100,,27,,46,,,,,71,41,95,33,32,,12,83,42,,86,55,62,11,,,7,73,,,98,82,,16,60,,50,7,5,28,75,46,70,,77,,53,36,26,99,12,78,3,,,85,,14,83,94,25,54,,63,,53,15,,12,,86,90,97,32,49,,3,,10,5,,,6,35,39,,31,6,11,69,13,,,,35,7,,73,62,,,,59,14,,11,,6,42,0,14,22,,52,50,51,35,,88,,71,,,,87,30,6,,15,45,,51,,72,68,32,60,42,21,,68,93,88,80,56,84,13,93,,57,6,21,,78,58,,46,5,,,,26,93,,69,,,12,82,,,37,6,29,86,99,11,34,75,54,,47,99,53,35,,9,,93,45,33,22,81,26,68,32,37,31,36,55,16,,,93,,,,26,63,,20,73,,,45,,,,70,,74,,,,64,,,37,54,63,,35,,64,67,,,,,,,92,,87,56,55,91,87,62,37,,,77,94,18,93,78,47,93,48,60,89,,84,93,63,,,61,65,,73,32,,15,45,21,,11,73,,13,,98,65,30,71,22,16,,33,89,57,,40,,15,,94,95,75,31,,33,54,,19,5,26,43,28,56,,60,80,10,,32,93,,,,80,53,66,7,80,,1,,59,,99,44,41,,9,,15,,30,,73,94,92,36,48,,,51,50,14,74,36,38,,91,58,66,,,,60,82,,37,,,32,2,10,13,,66,,9,17,25
