id,name,artist,genre,year
0,Cambridgeshire,Monique,new-age,90s
1,overriding,Grier,afrobeat,2000s
2,California,Kat,heavy-metal,2000s
3,white,Torry,acoustic,2020s
4,project,Justino,afrobeat,60s
5,Avon,Michal,trance,70s
6,Licensed Concrete Pizza,Valera,reggaeton,70s
7,Legacy,Corny,children,2020s
8,Incredible Plastic Pizza,Gerhardt,club,2020s
9,invoice,Kaela,post-dubstep,2010s
10,Pitcairn Islands,Julianne,electronic,2020s
11,navigate,Crystie,acoustic,60s
12,maximize,Loy,deep-house,70s
13,Borders,Margaretta,malay,90s
14,bottom-line,Nancey,samba,70s
15,Soap,Maggie,rockabilly,2010s
16,eyeballs,Filippo,guitar,2020s
17,revolutionize,Marissa,dub,70s
18,applications,John,disney,2010s
19,fresh-thinking,Jolee,minimal-techno,80s
20,multi-byte,Herold,emo,70s
21,cyan,Niles,goth,60s
22,Licensed,Marillin,reggaeton,2020s
23,Integration,Delilah,deep-house,2000s
24,bleeding-edge,Alethea,power-pop,60s
25,Coordinator,Shawn,classical,70s
26,Berkshire,Henriette,indian,90s
27,Rwanda,Egor,latin,60s
28,Bedfordshire,Cahra,industrial,2010s
29,deposit,Hallsy,swedish,2010s
30,Borders,Luigi,bossanova,2020s
31,Bahamas,Syman,trance,2010s
32,Principal,Zacherie,bossanova,90s
33,best-of-breed,Melanie,songwriter,2000s
34,hard drive,Lexis,black-metal,60s
35,extensible,Kimberly,club,80s
36,digital,Neilla,bossanova,70s
37,transparent,Sandra,classical,2020s
38,customized,Konstantin,iranian,60s
39,Planner,Adrienne,emo,2000s
40,plum,Frasco,garage,2000s
41,Handcrafted Cotton Pizza,Karry,soul,80s
42,maximize,Gerry,songwriter,90s
43,Gorgeous,Urbanus,study,2010s
44,Optional,Zacherie,pagode,2020s
45,Lesotho,Tiffy,anime,2020s
46,navigate,Cindra,black-metal,2010s
47,Engineer,Chrissie,hip-hop,2000s
48,Cambridgeshire,Andrei,iranian,60s
49,methodologies,Corby,latino,90s
50,fresh-thinking,Judy,dancehall,70s
51,synergies,Margalo,heavy-metal,70s
52,Checking Account,Danielle,classical,80s
53,enhance,Paulie,techno,70s
54,mobile,Danila,guitar,70s
55,Nevada,Deidre,ambient,90s
56,cohesive,Kendrick,progressive-house,90s
57,invoice,Durward,sertanejo,90s
58,generating,Stevana,rock-n-roll,80s
59,Security,Rachel,movies,2020s
60,Accounts,Brant,house,60s
61,empower,Vlad,soundtracks,2000s
62,real-time,Paulina,bossanova,2010s
63,New Jersey,Henrieta,j-rock,2020s
64,Diverse,Oates,sleep,2000s
65,Fantastic Fresh Salad,Marvin,british,70s
66,red,Chase,spanish,2000s
67,generating,Maria,guitar,2000s
68,Steel,Kelsey,tango,60s
69,digital,Sandra,sleep,70s
70,24/7,Tamiko,ambient,90s
71,Zimbabwe Dollar,Graeme,latin,2010s
72,Managed,Augusto,jazz,90s
73,orchestration,Gabey,electro,2020s
74,Tools,Sibyl,industrial,80s
75,Operative,Saul,cantopop,2020s
76,deposit,Rosina,hardcore,80s
77,e-enable,Mitzi,world-music,60s
78,Credit Card Account,Mitzi,show-tunes,70s
79,turn-key,Dasya,swedish,90s
80,bypass,Laverne,j-idol,90s
81,ROI,Andris,bossanova,2010s
82,Fresh,Cullan,tango,2010s
83,Bike,Cole,philippines-opm,2010s
84,bypassing,Sansone,anime,2010s
85,solid state,Emmalyn,pagode,80s
86,North Korean Won,Neils,guitar,2020s
87,synergies,Euell,progressive-house,2020s
88,Tasty,Dag,k-pop,2010s
89,Avon,Arabella,singer-songwriter,2000s
90,payment,Demetria,idm,2020s
91,Integration,Rorie,bluegrass,90s
92,Plastic,Kellby,indie-pop,60s
93,Small Granite Pizza,Skipton,anime,2010s
94,back-end,Liv,world-music,2020s
95,framework,Chrissie,honky-tonk,2000s
96,Texas,Krissie,tango,2010s
97,Ohio,Korella,romance,90s
98,Mobility,Leonore,singer-songwriter,90s
99,sensor,Stacia,deep-house,70s
100,Product,Hans,samba,2010s
101,portals,Freddi,philippines-opm,90s
102,white,Lyn,salsa,80s
103,Soft,Claudetta,german,60s
104,Meadows,Urson,dubstep,2000s
105,compress,Lisette,detroit-techno,60s
106,Kuwaiti Dinar,Ambrose,j-idol,90s
107,Tala,Justinn,emo,80s
108,Gorgeous Soft Hat,Kathi,party,90s
109,Awesome Steel Sausages,Bernice,idm,90s
110,Personal Loan Account,Ingra,gospel,2020s
111,invoice,Dore,rockabilly,2020s
112,Chips,Kaycee,guitar,2020s
113,yellow,Gilberta,club,80s
114,Czech Koruna,Any,ambient,60s
115,Producer,Salome,hard-rock,80s
116,Borders,Jeane,latin,70s
117,Louisiana,Neils,ska,70s
118,calculate,Leonore,gospel,70s
